timestep,time_elapsed,ego_velocity,desired_speed,distance_to_lead,lead_speed
0,0.0,8.552618688450805e-08,10,20.0,2.906745175303559e-08
1,0.1,1.353167332167669e-07,10,20.0,0.0
2,0.2,5.141994238683498e-08,10,20.0,2.563508704338758e-08
3,0.30000000000000004,2.0357151758732972e-07,10,20.0,3.840004664349525e-09
4,0.4,5.878259477440386e-08,10,20.0,1.8820629271642e-08
5,0.5,4.188397857305987e-08,10,20.0,2.398116722088478e-08
6,0.6000000000000001,4.590294911630484e-08,10,20.010925292989203,0.29422930540446857
7,0.7000000000000001,3.9055862364298764e-08,10,20.060363769950534,0.6882404434045564
8,0.8,9.51797411124536e-09,10,20.144409184177903,0.9985910908518872
9,0.9,6.856815156770033e-08,10,20.258789068853016,1.2574996878888822
10,1.0,6.474748670556273e-08,10,20.400024421053118,1.5322438255361812
11,1.1,3.167245950549793e-08,10,20.569152848996566,1.804800453228353
12,1.2000000000000002,6.999551698794284e-09,10,20.7630615740393,2.047260957692376
13,1.3,1.684322829700162e-08,10,20.980163683754004,2.269479339297269
14,1.4000000000000001,0.18316292645495985,10,21.215393263976992,2.470703183234858
15,1.5,0.6903217935233362,10,21.41870147044047,2.6509120134336217
16,1.6,0.6814238640029965,10,21.624268001326605,2.8103447218632875
17,1.7000000000000002,0.7364089267142405,10,21.84228573184003,2.949351539397791
18,1.8,0.7543958381509611,10,22.069092556587435,3.068331101018829
19,1.9000000000000001,0.762218494755778,10,22.305726069971218,3.16770350041446
20,2.0,0.7683742924457603,10,22.550477294819537,3.2479031372655007
21,2.1,0.772450220080975,10,22.801576205484256,3.3093734728407598
22,2.2,0.7629947034986879,10,23.05853452329484,3.3594118181561266
23,2.3000000000000003,0.7665939768309711,10,23.319826367038132,3.3917706248524224
24,2.4000000000000004,0.7688799856417173,10,23.58301032994157,3.4018936902195707
25,2.5,0.7708818232814532,10,23.84564499663387,3.393580708759227
26,2.6,0.778970853679156,10,24.106021388305955,3.3683816478549313
27,2.7,0.7825583092738276,10,24.36224739922525,3.324841908194227
28,2.8000000000000003,0.7909935315855422,10,24.612369912051797,3.2601357373936097
29,2.9000000000000004,0.7987646553021579,10,24.854252679413626,3.1795760826359687
30,3.0,0.8031008989184003,10,25.08679707793305,3.0849994924823907
31,3.1,0.808311035606676,10,25.309270669529894,2.9909364608619096
32,3.2,0.816021656504552,10,25.521063101366593,2.884104380070928
33,3.3000000000000003,0.8225009098607469,10,25.720099174968876,2.7505924097517624
34,3.4000000000000004,0.8281050744323638,10,25.90436472302059,2.6040527101181894
35,3.5,0.8328694447678012,10,26.072761097956846,2.445205546197695
36,3.6,0.8376883792962508,10,26.224189674558232,2.2744080722806
37,3.7,0.8427958418521342,10,26.357429740825484,2.092149773151514
38,3.8000000000000003,0.8479865026079606,10,26.471321625676076,1.8990456401314542
39,3.9000000000000004,0.8531036495718871,10,26.564827728545435,1.695613256154895
40,4.0,0.8581954502088985,10,26.547431936902424,0.000849955243844955
41,4.1000000000000005,0.8630190888118928,10,26.46125015957029,0.0004805237587132923
42,4.2,0.867557521912446,10,26.375007343665136,0.0004974068068146861
43,4.3,0.8718412018721168,10,26.288154178687705,0.0002915521706510935
44,4.4,0.8759231802066075,10,26.20062962666359,0.0
45,4.5,0.8798017267429032,10,26.11267782957676,0.0
46,4.6000000000000005,0.8834891201586654,10,26.024359822571242,0.0
47,4.7,0.886971116978927,10,25.935736639425404,0.0
48,4.800000000000001,0.8902709594580723,10,25.84668621260834,0.0
49,4.9,0.8933474045925082,10,25.757391646169257,0.0
50,5.0,0.8962200595214632,10,25.667730869832106,0.0
51,5.1000000000000005,0.8988879131666133,10,25.577825953885398,0.0
52,5.2,0.9013743892335024,10,25.487676897027463,0.0
53,5.300000000000001,0.9037122699540093,10,25.396062999051725,0.03651309292249504
54,5.4,0.9059011386596179,10,25.304265996620074,0.04183290406366129
55,5.5,0.9079672814695948,10,25.21680255284152,0.10065193288716207
56,5.6000000000000005,0.9099208299888394,10,25.14130195141726,0.22247959515055069
57,5.7,0.9117776406597248,10,25.082402961380357,0.4202570910312794
58,5.800000000000001,0.9135371766604607,10,25.04492738746917,0.6724530907632463
59,5.9,0.9151909130631881,10,25.033025777801615,0.9306897081782916
60,6.0,0.9167597128395657,10,25.051824860413063,1.2111287722284272
61,6.1000000000000005,0.9182475099968819,10,25.09693011298426,1.4636779083819684
62,6.2,0.9196581784116286,10,25.168280608690885,1.7277213113525813
63,6.300000000000001,0.9209940421005951,10,25.264777763785492,1.9775468773619787
64,6.4,0.9222542676940967,10,25.384834691749838,2.207275184510145
65,6.5,0.9234519080638001,10,25.52680345539506,2.4170136340006847
66,6.6000000000000005,0.9245838040468618,10,25.68854784184425,2.6133170316997196
67,6.7,0.9256534139366723,10,25.869152327935723,2.7965649327214233
68,6.800000000000001,0.9266678296004527,10,26.06654173325193,2.954195565757503
69,6.9,0.9276273490562968,10,26.277969465213467,3.0845140701162075
